img1,img2,score,decision
83702.jpg,80937.jpg,0.9452701807022095,same
83702.jpg,45594.jpg,0.8921135067939758,same
83702.jpg,7787.jpg,0.958079993724823,same
83702.jpg,44262.jpg,0.9753085374832153,same
83702.jpg,56188.jpg,0.932564914226532,same
83702.jpg,856.jpg,0.9175516963005066,same
83702.jpg,86249.jpg,0.9596794843673706,same
83702.jpg,3911.jpg,0.8843681812286377,same
80937.jpg,45594.jpg,0.9236596822738647,same
80937.jpg,7787.jpg,0.9430696964263916,same
80937.jpg,44262.jpg,0.9357613921165466,same
80937.jpg,56188.jpg,0.9546477794647217,same
80937.jpg,856.jpg,0.9439328908920288,same
80937.jpg,86249.jpg,0.9589595198631287,same
80937.jpg,3911.jpg,0.9216444492340088,same
45594.jpg,7787.jpg,0.8956425189971924,same
45594.jpg,44262.jpg,0.8900434970855713,same
45594.jpg,56188.jpg,0.9118601083755493,same
45594.jpg,856.jpg,0.9185377359390259,same
45594.jpg,86249.jpg,0.9127660393714905,same
45594.jpg,3911.jpg,0.9349820613861084,same
7787.jpg,44262.jpg,0.9488517045974731,same
7787.jpg,56188.jpg,0.9301148653030396,same
7787.jpg,856.jpg,0.9177221655845642,same
7787.jpg,86249.jpg,0.9632191061973572,same
7787.jpg,3911.jpg,0.9146924614906311,same
44262.jpg,56188.jpg,0.9279018640518188,same
44262.jpg,856.jpg,0.9097679257392883,same
44262.jpg,86249.jpg,0.9549470543861389,same
44262.jpg,3911.jpg,0.8762499690055847,same
56188.jpg,856.jpg,0.944571852684021,same
56188.jpg,86249.jpg,0.9447354078292847,same
56188.jpg,3911.jpg,0.9134466052055359,same
856.jpg,86249.jpg,0.9252976775169373,same
856.jpg,3911.jpg,0.9070877432823181,same
86249.jpg,3911.jpg,0.9060954451560974,same
